,"T1.M1","T1.M2","T1.M3","T1.M4","T1.M5","T2.M1","T2.M2","T2.M3","T3.M1","T3.M2","T3.M3","T4.M1","T4.M2","T4.M3","T5.M1","T5.M2","T5.M3","T6.M1","T6.M2","T6.M3","T6.M4","T7.M1","T7.M2","T7.M3","T8.M1","T8.M2","T8.M3","T9.M1","T9.M2","T9.M3","T10.M1","T10.M2","T10.M3","T10.M4","T10.M5","T10.M6","T10.M7","T10.M8","T11.M1","T11.M2","T11.M3","T11.M4","T11.M5","T12.M1","T12.M2","T12.M3","T12.M4","T13.M1","T13.M2","T13.M3","T13.M4","T13.M5","T13.M6","T13.M7","T13.M8","T14.M1","T14.M2","T14.M3","T14.M4","T14.M5","T14.M6","T15.M1","T15.M2","T15.M3","T15.M4","T15.M5","T15.M6","T15.M7"
"Aphrodita aculeata",0,3,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aplidium glabrum",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Aplysia dactylomela",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aplysia depilans",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aplysia fasciata",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aplysia juliana",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aplysia punctata",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aplysilla rosea",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,3,0,0
"Aplysilla sulfurea",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Aplysina aerophoba",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,3
"Aplysina cavernicola",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,3,3
"Aporrhais pespelecani",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Arbacia lixula",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Arca noae",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Arcopagia crassa",0,3,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Arcoscalpellum michelottianum",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0
"Arctica islandica",0,3,2,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
"Arenicola defodiens",0,0,0,3,0,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Arenicola marina",0,0,0,3,0,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Aristaeomorpha foliacea",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Aristeus antennatus",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Armina tigrina",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Asbjornsenia pygmaea",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
"Ascidia mentula",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Ascidiella aspersa",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Ascidiella scabra",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,2,0
"Aslia lefevrei",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Assiminea grayana",3,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
"Astarte borealis",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Astarte elliptica",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
